Date,Time,BioSignature,Count
06/07/2011,10:27,Magnetofossils,40
07/07/2011,03:24,Clay,12
08/07/2011,22:14,Clay,24
08/07/2011,15:31,Magnetofossils,35
08/07/2011,19:35,Mineralizing Springs,10
08/07/2011,02:23,Microfossils,10
08/07/2011,13:23,Metalloids,21
09/07/2011,12:34,Mineralizing Soils,8
09/07/2011,11:41,Permafrost,3
10/07/2011,17:42,Metalloids,12
10/07/2011,23:22,Magnetofossils,6
11/07/2011,17:58,Permafrost,16
12/07/2011,02:55,Water,2
13/07/2011,17:40,Water,14
14/07/2011,18:34,Water,40
15/07/2011,05:13,Microfossils,10
15/07/2011,21:01,Magnetofossils,40
16/07/2011,09:39,Water,19
17/07/2011,20:15,Evaporite,18
17/07/2011,22:50,Mineralizing Springs,26
18/07/2011,10:30,Mineralizing Springs,17
19/07/2011,19:45,Magnetofossils,22
19/07/2011,15:32,Microfossils,35
19/07/2011,22:40,Mineralizing Springs,2
19/07/2011,23:30,Magnetofossils,22
19/07/2011,18:17,Clay,22
19/07/2011,15:13,Microfossils,22
20/07/2011,15:25,Microfossils,15
21/07/2011,09:13,Evaporite,24
22/07/2011,12:45,Microfossils,36
23/07/2011,20:43,Metalloids,18
23/07/2011,11:53,Microfossils,28
24/07/2011,04:25,Permafrost,12
24/07/2011,16:36,Evaporite,35
25/07/2011,16:05,Microfossils,23
25/07/2011,03:59,Magnetofossils,7
25/07/2011,18:57,Magnetofossils,17
26/07/2011,14:12,Clay,19
26/07/2011,21:55,Permafrost,22
27/07/2011,10:34,Metalloids,9
28/07/2011,11:06,Permafrost,23
28/07/2011,14:04,Water,8
29/07/2011,18:36,Mineralizing Soils,41
29/07/2011,03:15,Clay,15
30/07/2011,04:14,Metalloids,13
31/07/2011,00:13,Evaporite,23
31/07/2011,18:48,Metalloids,7
01/08/2011,03:33,Mineralizing Springs,14
02/08/2011,20:22,Evaporite,32
02/08/2011,03:45,Mineralizing Soils,2
03/08/2011,14:35,Microfossils,16
03/08/2011,10:48,Mineralizing Soils,34
03/08/2011,07:42,Metalloids,5
03/08/2011,21:58,Metalloids,35
03/08/2011,03:15,Metalloids,22
04/08/2011,19:50,Metalloids,15
05/08/2011,15:47,Metalloids,37
06/08/2011,11:16,Metalloids,42
06/08/2011,07:17,Magnetofossils,40
06/08/2011,07:37,Metalloids,39
